profile pic,username_length,bio_description_length,external_URL,is_private,posts_count,followers_count,following_count,fake_or_real,followers_following_ratio
1,23.0,8,0,0,220,2258,157,0,14.29113924
1,3.0,5,1,1,6,258,337,0,0.763313609
1,17.0,11,0,1,31,249,309,0,0.803225806
1,18.0,11,0,0,6,782,1175,0,0.664965986
1,22.0,7,0,1,12,68,67,0,1.0
1,24.0,8,0,0,205,2756,638,0,4.312989045
0,1.0,7,0,0,110,501,1009,0,0.496039604
1,3.0,8,0,0,382,905,395,0,2.285353535
1,19.0,10,0,1,1141,972,578,0,1.678756477
1,20.0,6,0,0,146,264,210,0,1.251184834
1,2.0,9,0,1,27,789,235,0,3.343220339
1,17.0,2,1,0,2,81,268,0,0.301115242
1,20.0,1,0,0,98,628,432,0,1.45034642
1,1.0,5,0,1,264,1799,466,0,3.852248394
0,22.0,11,0,1,4,7,23,1,0.291666667
0,19.0,10,1,1,8,75,17,1,4.166666667
1,1.0,7,1,0,899,18565,960,0,19.31841831
0,3.0,1,0,0,0,101,648,1,0.155624037
1,1.0,5,0,0,3,291,327,0,0.887195122
1,22.0,11,0,0,44,708,673,0,1.050445104
1,1.0,4,0,1,21,403,382,0,1.052219321
0,17.0,9,0,1,0,14,28,1,0.482758621
1,24.0,6,0,1,52,104,110,0,0.936936937
1,1.0,9,0,0,179,1087,392,0,2.765903308
1,2.0,7,0,0,13,155,527,1,0.293560606
1,21.0,4,0,0,1,14,56,1,0.245614035
0,18.0,4,0,0,8,77,97,1,0.785714286
1,1.0,7,1,0,0,49,79,1,0.6125
0,19.0,10,0,0,6,566,469,1,1.204255319
0,2.0,11,0,0,2,34,22,1,1.47826087
1,3.0,7,0,0,26,302,313,0,0.961783439
1,21.0,8,1,0,92,19,31,1,0.59375
0,2.0,6,0,1,0,71,369,1,0.191891892
0,4.0,10,0,1,1,2,55,1,0.035714286
1,1.0,9,0,1,50,89,139,0,0.635714286
1,1.0,7,0,0,460,177637,43,0,4037.204545
0,22.0,9,1,0,0,50,57,1,0.862068966
0,3.0,11,0,0,0,30,90,1,0.32967033
0,2.0,4,0,0,0,46,46,1,0.978723404
1,4.0,1,1,1,26,4225,3447,0,1.225348028
0,1.0,6,0,1,5,147,315,1,0.465189873
0,1.0,5,0,0,8,79,6,1,11.28571429
1,24.0,7,0,0,15,186,174,0,1.062857143
1,2.0,8,0,1,149,1582,1882,0,0.840148699
0,19.0,5,0,0,142,522,1045,0,0.499043977
1,18.0,1,0,0,8,291,446,1,0.651006711
0,1.0,6,0,1,7,217,1529,1,0.141830065
0,20.0,11,0,0,0,50,38,1,1.282051282
1,15.0,8,0,1,2,104,114,1,0.904347826
1,2.0,7,1,0,110,269,257,0,1.042635659
0,21.0,8,1,0,0,85,335,1,0.25297619
0,4.0,7,0,0,2,38,19,1,1.9
1,24.0,6,0,1,16,341,502,0,0.677932406
1,23.0,10,0,0,18,39,219,1,0.177272727
1,19.0,1,0,0,580,854,480,0,1.775467775
0,19.0,3,0,1,5,59,36,1,1.594594595
1,17.0,6,0,0,10,157,171,0,0.912790698
1,1.0,7,0,0,8,1247,1196,0,1.041771094
1,15.0,9,0,0,23,193,173,0,1.109195402
1,19.0,11,1,0,88,934,572,0,1.630017452
1,15.0,6,0,1,33,1467,1388,0,1.056155508
0,17.0,2,1,0,0,32,43,1,0.727272727
0,18.0,7,0,1,6,37,18,1,1.947368421
0,1.0,6,1,0,0,82,139,1,0.585714286
1,2.0,9,0,0,285,759,956,0,0.793103448
